category_id,category_title,sub_category_id,sub_category_title
21,"Traffic and Road Safety",194,"Not wearing seat belt"
21,"Traffic and Road Safety",195,"Stopped on Zebra Cross"
21,"Traffic and Road Safety",196,"Taking a U-turn where U-turn is prohibited"
21,"Traffic and Road Safety",197,"Triple Riding"
21,"Traffic and Road Safety",198,"Using Mobile Phone"
21,"Traffic and Road Safety",199,"Violating lane discipline"
21,"Traffic and Road Safety",200,"Wrong parking"
21,"Traffic and Road Safety",201,"Using black film-other materials"
21,"Traffic and Road Safety",374,"Installation Of Traffic or Pedestrain Lights"
21,"Traffic and Road Safety",375,"Repair of  mast light at a busy road (main road) junction"
21,"Traffic and Road Safety",377,"Maintenance/Repair Of Traffic or Pedestrain Lights"
21,"Traffic and Road Safety",419,"Repair of pedestrian lights"
21,"Traffic and Road Safety",429,"Installation Of Traffic Surveillance Camera"
21,"Traffic and Road Safety",430,"Installation Of Traffic Sign Boards"
21,"Traffic and Road Safety",475,"Jumping Traffic Signal"
21,"Traffic and Road Safety",476,"Pillion Rider Not Wearing Helmet"
21,"Traffic and Road Safety",477,"Stunt Riding"
21,"Traffic and Road Safety",723,"Encroachment of cycle lane"
22,"Parks & Recreation",85,"Maintenance Of existing Parks"
22,"Parks & Recreation",358,"Construction Of New Parks"
22,"Parks & Recreation",465,"Plant New Tree Saplings In Parks"
22,"Parks & Recreation",466,"Construction Of New Public Toilet In Parks"
22,"Parks & Recreation",467,"Maintenance Of Existing Public Toilet In Parks"
22,"Parks & Recreation",468,"Installation Of Lights In Parks"
22,"Parks & Recreation",469,"Maintenance Of Lights In Parks"
23,"Water Supply and Services",88,"Stop Water Leakage"
23,"Water Supply and Services",182,"Regular Water Supply"
23,"Water Supply and Services",378,"Provision for a New Water Pipeline"
23,"Water Supply and Services",420,"Maintenance Of Existing Water Pipeline"
23,"Water Supply and Services",431,"Maintenance Of Existing Water Tank"
23,"Water Supply and Services",440,"Installation Of Drinking Water ATMs"
23,"Water Supply and Services",505,"Illegal Connection"
23,"Water Supply and Services",506,"Illegal Pump"
23,"Water Supply and Services",535,"Water Meter"
168,"Public Transport - BMTC",60,"Maintenance/Repair Of Bus Shelter"
168,"Public Transport - BMTC",64,"Construction Of New Bus Shelter"
168,"Public Transport - BMTC",169,"Provide New Bus Routes"
168,"Public Transport - BMTC",170,"Issue With Bus Driver Or Conductor"
168,"Public Transport - BMTC",372,"Increase Frequency Of Bus Services"
172,"Public Transport - KSRTC",173,"KSRTC - Driver or Conductor"
172,"Public Transport - KSRTC",174,"KSRTC - Need new Bus Route"
172,"Public Transport - KSRTC",175,"KSRTC - Others"
